areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
All Downtown,Manhattan,submarket,900000.000,849500.000,990000.000,992793.000,916962.500,800000.000,1125000.000,995000.000,951811.500,995000.000,840000.000,945940.500,999000.000,818000.000,977520.000,850000.000,855330.000,834977.000,982550.000,880000.000,845000.000,840500.000,837500.000,918750.000,900000.000,830000.000,940000.000,975000.000,950000.000,964500.000,970212.000,1029450.000,849813.000,850500.000,831223.500,993000.000,850338.000,845000.000,1097500.000,990000.000,961123.000,915000.000,1043706.000,867500.000,951000.000,950000.000,1030000.000,1150000.000,1245000.000,995000.000,982200.000,947500.000,1062168.000,1205452.000,1161652.500,1045000.000,1077630.500,1150000.000,1324362.500,1270000.000,1445915.000,1075000.000,1094618.000,1100000.000,1138000.000,1250000.000,1395000.000,1099500.000,1357500.000,1530487.500,1450000.000,1660000.000,1745000.000,1400000.000,1225000.000,1487500.000,1498413.500,1400000.000,1509316.000,1299000.000,1550000.000,1263500.000,1280000.000,1402592.500,1425275.000,1479594.000,1578287.000,1700000.000,1369818.500,1745000.000,1430714.500,1375000.000,1160000.000,1240000.000,1300000.000,1350000.000,1325000.000,1579500.000,1420000.000,1350000.000,1375000.000,1350000.000,1471834.000,1526283.000,1325000.000,1167500.000,1410000.000,1325000.000,1350000.000,1410000.000,1354681.500,1523641.500,1537469.000,2305000.000,1250000.000,1366351.500,1398065.000,1350000.000,1375964.500,1500000.000,1340000.000,1262500.000,1125000.000,1432963.000,1354300.000,1050000.000,1264312.500,1202500.000,1551276.000,1140000.000,1608875.000,1325000.000,1400000.000,1496359.000,1425000.000,1427883.000,1520000.000
All Midtown,Manhattan,submarket,685000.000,637500.000,600000.000,687500.000,750000.000,598000.000,748000.000,750000.000,711756.500,735000.000,745000.000,750000.000,700000.000,715000.000,585000.000,760000.000,763687.000,743750.000,711387.500,752250.000,718933.000,641748.500,575000.000,702500.000,765000.000,682500.000,640000.000,772500.000,710000.000,732000.000,815000.000,650000.000,690000.000,773870.000,685000.000,800250.000,692500.000,725550.500,660931.000,702500.000,845000.000,779000.000,777000.000,768000.000,755000.000,723250.000,711000.000,785000.000,717750.000,730000.000,690222.000,735000.000,750000.000,758500.000,722500.000,725000.000,740000.000,760000.000,800500.000,859750.000,870256.000,800000.000,947500.000,880000.000,865000.000,815000.000,895000.000,825000.000,977500.000,879000.000,1149989.000,976702.000,1125000.000,852500.000,940000.000,827500.000,980000.000,888000.000,820000.000,804204.000,877659.000,899000.000,812500.000,925000.000,930000.000,935000.000,882000.000,970000.000,1000000.000,965000.000,1240000.000,900000.000,900000.000,786500.000,985000.000,865000.000,853000.000,950000.000,960000.000,865000.000,856038.500,850000.000,870000.000,852500.000,860000.000,890000.000,963500.000,939000.000,926608.000,951500.000,1020000.000,913500.000,1047500.000,945000.000,868250.000,838000.000,812000.000,860000.000,855000.000,993000.000,904000.000,1150000.000,875000.000,805000.000,829000.000,782500.000,837500.000,795000.000,835000.000,740000.000,790000.000,855000.000,700000.000,767000.000,825000.000,809750.000,777500.000
All Upper East Side,Manhattan,submarket,1004500.000,831421.000,995000.000,875000.000,1200000.000,827391.000,993750.000,975000.000,852500.000,832500.000,847436.500,927500.000,930000.000,760000.000,1162000.000,935000.000,832500.000,1050000.000,985000.000,937500.000,870000.000,847000.000,862500.000,745000.000,925000.000,840507.500,1057500.000,915000.000,834000.000,1100000.000,970000.000,965000.000,852500.000,837500.000,825000.000,975000.000,761513.000,829000.000,900000.000,899000.000,875000.000,965000.000,950000.000,869500.000,900000.000,832500.000,1090000.000,1300000.000,1230000.000,1035000.000,850000.000,946400.000,972500.000,955000.000,1157500.000,919734.000,1012000.000,1004552.500,925000.000,1022250.000,1100000.000,902500.000,1200000.000,1075000.000,1070000.000,1216808.000,1082500.000,991351.000,939000.000,1125000.000,1070000.000,995000.000,955250.000,1505000.000,1144508.000,1212500.000,1207500.000,1230000.000,1137500.000,916425.000,999000.000,1176078.000,1150000.000,893000.000,1097000.000,890000.000,1205000.000,985361.000,1012000.000,1340000.000,1175000.000,1207500.000,1228065.000,1170000.000,940000.000,1290000.000,1175000.000,1045000.000,1260000.000,1215000.000,1171639.000,1100000.000,1162902.500,1047500.000,1200000.000,1275000.000,1100000.000,1125000.000,875000.000,1210000.000,1145000.000,1137385.000,1108000.000,2076500.000,948500.000,1194325.000,955000.000,1025000.000,960000.000,955000.000,1150000.000,1013500.000,957500.000,1287500.000,925000.000,1050000.000,1300000.000,960000.000,1050000.000,960000.000,925000.000,1075000.000,930000.000,1099000.000,1100000.000,1095000.000,1100000.000
All Upper Manhattan,Manhattan,submarket,366022.000,393496.000,350139.500,334620.000,338750.000,415740.000,433000.000,405000.000,469750.000,440000.000,410000.000,435000.000,452290.500,400000.000,450000.000,335000.000,418500.000,455000.000,430000.000,444500.000,450000.000,427755.000,413000.000,298800.000,420000.000,429000.000,414330.500,385000.000,457514.500,459213.000,520000.000,435000.000,390000.000,435000.000,537500.000,460000.000,415000.000,405000.000,440000.000,473802.000,470000.000,460424.500,440000.000,412698.000,425000.000,405000.000,430000.000,385000.000,375000.000,405000.000,497367.000,440000.000,451625.000,480000.000,534024.000,470000.000,475600.000,528105.500,525000.000,504986.000,567564.000,499500.000,570220.000,523345.000,510000.000,500408.000,552000.000,510500.000,500000.000,575000.000,505000.000,530000.000,585000.000,539881.000,426250.000,552500.000,572500.000,622500.000,570000.000,610950.000,600000.000,604500.000,604250.000,625000.000,622509.000,640000.000,577500.000,540000.000,625000.000,576250.000,590000.000,672000.000,665000.000,575311.000,620000.000,607500.000,625000.000,547500.000,582500.000,646250.000,580000.000,712500.000,646990.000,712500.000,650000.000,625000.000,607500.000,542463.500,623250.000,552500.000,730000.000,555000.000,715000.000,675000.000,609375.000,590000.000,587500.000,573750.000,711375.000,695000.000,711756.000,687500.000,630000.000,597000.000,577000.000,593130.000,571000.000,704500.000,635000.000,586396.000,607500.000,690000.000,730000.000,585000.000,685000.000,630000.000,640000.000
All Upper West Side,Manhattan,submarket,860421.000,875000.000,747250.000,803603.500,900000.000,769750.000,985000.000,977500.000,825000.000,947500.000,955000.000,975000.000,861250.000,850683.000,805000.000,810000.000,832500.000,952500.000,901605.000,970000.000,982500.000,990000.000,999000.000,780000.000,800000.000,1050000.000,880000.000,900000.000,848750.000,975000.000,952415.000,880000.000,900000.000,865512.000,950000.000,970000.000,818000.000,822500.000,932500.000,935000.000,855854.000,955000.000,999000.000,980000.000,970000.000,910000.000,990000.000,925000.000,1010000.000,927500.000,937500.000,1085000.000,932500.000,1050000.000,961558.000,992647.000,1137765.500,887500.000,932500.000,955000.000,950000.000,1126000.000,788250.000,925050.000,1052000.000,1232500.000,1147000.000,1149531.000,1280000.000,1250460.000,1371068.500,1266250.000,1075000.000,995000.000,1123000.000,972339.000,1100000.000,1021990.000,1205000.000,1225000.000,931912.500,999000.000,1139773.500,1300000.000,1195000.000,1100000.000,975000.000,1139000.000,1250000.000,1300000.000,1245000.000,1175000.000,1590000.000,1369696.500,1580000.000,1400000.000,974000.000,1250000.000,1250000.000,1480000.000,1348888.000,985000.000,1210000.000,1220000.000,1088500.000,1030000.000,999000.000,1165750.500,1075000.000,1100000.000,1272500.000,1350000.000,1300000.000,1500000.000,940000.000,999000.000,1086000.000,977500.000,975000.000,1147765.500,1110000.000,1495000.000,1643750.000,1875000.000,1300000.000,1490000.000,1203221.500,1250000.000,1062500.000,1312500.000,1300000.000,1167500.000,1165000.000,902500.000,1073575.500,1057500.000,998000.000
Astoria,Queens,neighborhood,402000.000,605237.500,380000.000,415000.000,392660.000,400000.000,380000.000,555018.500,425880.000,362500.000,337300.000,465000.000,525000.000,360000.000,364500.000,385000.000,345000.000,382333.000,592500.000,560000.000,517000.000,485353.000,347500.000,439949.000,383830.000,486720.000,410670.000,454500.000,400500.000,495000.000,449000.000,476580.000,510000.000,591500.000,342000.000,537000.000,365500.000,441500.000,505000.000,536000.000,538000.000,456300.000,385320.000,540000.000,600000.000,495000.000,437022.500,447500.000,537500.000,550000.000,522500.000,544763.000,437500.000,570000.000,537750.000,580000.000,577500.000,612500.000,578000.000,532035.500,787500.000,402293.000,582750.000,495000.000,433992.000,538000.000,700000.000,725000.000,620000.000,611650.000,550000.000,589566.000,630000.000,676000.000,501000.000,674081.000,461480.000,520750.000,750000.000,567500.000,635000.000,847573.500,763279.500,522500.000,925000.000,550000.000,697500.000,804417.000,800000.000,705000.000,800000.000,707500.000,649750.000,578000.000,590000.000,605858.000,959000.000,725000.000,566683.000,707304.500,700977.500,744585.000,580000.000,850000.000,682500.000,799000.000,785000.000,625000.000,700000.000,694500.000,631000.000,726736.000,985000.000,987000.000,815240.000,935500.000,789278.500,925000.000,1100000.000,870823.500,847500.000,936250.000,876967.500,865512.000,645000.000,787000.000,835000.000,599000.000,670000.000,739000.000,1095000.000,789500.000,812500.000,807500.000,824500.000,675000.000,1087500.000
Auburndale,Queens,neighborhood,670000.000,520000.000,,549250.000,575000.000,533250.000,554250.000,639500.000,546000.000,565000.000,500000.000,545000.000,610000.000,550000.000,625000.000,,522000.000,520000.000,515000.000,525000.000,515000.000,570000.000,,,575000.000,479000.000,590000.000,540000.000,600000.000,555000.000,587500.000,527500.000,605000.000,580000.000,500000.000,487000.000,593500.000,598000.000,527000.000,530000.000,570000.000,537500.000,495000.000,630500.000,600000.000,650000.000,635000.000,550000.000,710000.000,720000.000,680000.000,640000.000,655000.000,658000.000,650000.000,635500.000,673000.000,680000.000,635500.000,610000.000,648500.000,560000.000,635000.000,615000.000,662500.000,520000.000,634000.000,685000.000,715000.000,785500.000,830000.000,661500.000,670000.000,,699000.000,712000.000,738000.000,740500.000,650000.000,768750.000,750000.000,805000.000,760000.000,797500.000,864000.000,810000.000,744000.000,720000.000,837500.000,800000.000,835000.000,912500.000,765000.000,847785.000,785500.000,861500.000,765000.000,897500.000,835000.000,878000.000,865000.000,839500.000,760000.000,880000.000,919444.000,790000.000,888000.000,775000.000,780000.000,650000.000,805000.000,864000.000,742500.000,708233.000,860000.000,900000.000,858000.000,807500.000,770000.000,804500.000,820000.000,885000.000,,890000.000,,815000.000,,,767000.000,818000.000,756000.000,855000.000,785000.000,793500.000,775000.000,823500.000,850000.000
Bath Beach,Brooklyn,neighborhood,660000.000,353000.000,498888.000,305000.000,,537500.000,,,645000.000,,,377208.000,590000.000,,550000.000,600000.000,,523000.000,540000.000,547500.000,480000.000,510000.000,,,,599400.000,,,675250.000,530000.000,567500.000,648000.000,622000.000,,592290.500,610000.000,,,486720.000,600000.000,520000.000,586000.000,398220.000,524750.000,591500.000,600000.000,690000.000,580000.000,700000.000,552655.500,532336.000,,790000.000,545000.000,760000.000,,505000.000,745000.000,724500.000,551250.000,825000.000,850000.000,505073.500,732500.000,1090000.000,335000.000,,659000.000,750000.000,750000.000,781000.000,625000.000,992000.000,877000.000,788000.000,829000.000,540000.000,580906.000,,,944000.000,785000.000,,995000.000,724000.000,604000.000,1105000.000,788000.000,826819.000,,,,819500.000,,950000.000,900000.000,500000.000,,,882500.000,957500.000,665000.000,933500.000,1039000.000,855000.000,499902.000,501930.000,1175000.000,707500.000,680000.000,,,618220.000,990000.000,1125000.000,,720500.000,,784052.000,858000.000,1082500.000,735000.000,922500.000,,,,1000000.000,860000.000,,,,970000.000,,,1109500.000,760000.000,
Battery Park City,Manhattan,neighborhood,,502650.000,763000.000,2031917.000,1476462.500,,,1165000.000,1247356.000,1400000.000,,1580000.000,853130.500,,1225000.000,495895.000,625000.000,727500.000,936790.000,575000.000,911333.000,1545899.000,585110.000,,750000.000,902000.000,770500.000,650748.500,1056579.000,760000.000,1150767.500,1125000.000,675000.000,681609.000,791241.000,700000.000,804417.000,766570.000,656771.000,834965.000,785000.000,670000.000,770000.000,759617.000,939988.000,680000.000,753774.000,595000.000,1300000.000,860285.500,998750.000,1482500.000,774000.000,937500.000,770000.000,990000.000,,770000.000,990000.000,756000.000,862500.000,,712500.000,655000.000,1125000.000,840000.000,1792120.000,860256.000,2038615.000,2325000.000,1762500.000,2253168.000,2315000.000,990000.000,1989837.500,2199419.500,1200000.000,777000.000,1818000.000,1705000.000,1135050.000,980000.000,890000.000,790000.000,1067500.000,1049490.000,891000.000,,1640000.000,1105000.000,1355000.000,1088000.000,955000.000,834000.000,1435000.000,1650000.000,1085000.000,,1009125.000,920000.000,975000.000,1375000.000,1494500.000,744999.500,,917945.000,,,,1505772.000,602500.000,1247500.000,,,,,1325000.000,1187500.000,1080748.000,1970000.000,,,800000.000,,,,,,,,,747500.000,,987500.000,,885000.000,2065000.000
Bay Ridge,Brooklyn,neighborhood,480000.000,377500.000,270732.500,624500.000,260000.000,287500.000,355000.000,397500.000,572473.000,645000.000,412500.000,582500.000,455000.000,400000.000,376000.000,368000.000,400000.000,402500.000,400940.000,415740.000,533500.000,478725.000,400000.000,256250.000,245000.000,587625.000,290000.000,412500.000,470000.000,599000.000,466361.500,592500.000,410000.000,370000.000,712500.000,291893.000,383000.000,307500.000,280000.000,253000.000,459224.000,302500.000,510000.000,733800.000,395000.000,435000.000,333922.000,270000.000,700000.000,410000.000,478500.000,425000.000,470000.000,325000.000,335000.000,375000.000,487422.000,389000.000,454000.000,437238.000,580000.000,309000.000,685000.000,357166.500,422500.000,331250.000,378500.000,390500.000,465000.000,379500.000,360000.000,524500.000,424000.000,595000.000,635000.000,462500.000,502000.000,582500.000,352500.000,557500.000,525500.000,500000.000,525000.000,465000.000,735000.000,473641.500,637500.000,482500.000,480000.000,530000.000,515000.000,455000.000,565000.000,663776.000,424500.000,627000.000,945000.000,597500.000,560000.000,544900.000,535000.000,860000.000,704203.500,677136.000,550750.000,968300.000,620000.000,925000.000,597500.000,387833.500,910000.000,539672.000,459000.000,530000.000,602500.000,850000.000,699000.000,650000.000,417500.000,695000.000,621750.000,529000.000,975000.000,549333.000,498500.000,636406.000,505000.000,460000.000,991000.000,825000.000,550000.000,570000.000,788000.000,1075000.000,832500.000,480000.000,717750.000
