areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
All Downtown,Manhattan,submarket,1206187.500,1099022.500,1179133.000,1450000.000,1323725.000,1280000.000,1504187.500,1274721.000,1364636.000,1400000.000,1104946.000,1504668.000,1400000.000,1332500.000,1350000.000,1200000.000,1044813.000,1200000.000,1272812.000,1150000.000,1150000.000,1410229.000,1373523.500,1295000.000,1095000.000,1075462.500,1187446.500,1400000.000,1245050.000,1387410.000,1400093.000,1319650.000,1270000.000,1035000.000,1295000.000,1323726.000,1387546.000,1341124.500,1427729.000,1452437.500,1492500.000,1323725.000,1480822.500,1145531.000,1409845.000,1540000.000,1375000.000,1710150.000,1675500.000,1407629.000,1235000.000,1425550.000,1450418.000,1725000.000,1627500.000,1332045.000,1516142.000,1617744.000,1764112.500,1849500.000,2000000.000,1400000.000,1825000.000,1595000.000,1795000.000,1800000.000,1889335.500,1629200.000,2150000.000,2092503.000,2313427.000,2520168.000,2550000.000,2650504.000,2490527.000,2373325.000,1842500.000,2650000.000,2400000.000,2220000.000,2644370.000,2400000.000,2800187.000,2100000.000,2200000.000,2581263.000,2835826.000,2400000.000,2207500.000,2495000.000,2430000.000,2199500.000,1583000.000,1888853.000,1950000.000,1875000.000,1987500.000,2214693.000,2106250.000,1960000.000,1870000.000,1990000.000,2195000.000,2277803.000,1624108.500,1659747.000,2532500.000,1973037.500,1700000.000,2092980.000,1795895.500,2043250.000,2150000.000,2677500.000,1529338.500,1720724.000,2019204.500,1900000.000,1958750.000,1950000.000,1888523.000,1925000.000,1909502.500,1912500.000,2048500.000,1772500.000,2175000.000,1878019.000,1975000.000,1765000.000,2141357.500,2046250.000,1729089.500,1930000.000,1965000.000,1890000.000,2065000.000
All Midtown,Manhattan,submarket,840000.000,967500.000,800000.000,855330.000,940000.000,851608.000,875000.000,817145.000,1095000.000,931822.000,885484.000,923450.000,901500.000,950000.000,833201.000,867801.500,972500.000,945000.000,891492.000,951500.000,990000.000,880000.000,892500.000,982611.000,854500.000,860000.000,839500.000,926500.000,1035000.000,1155000.000,922500.000,839000.000,1050000.000,1045000.000,945000.000,930000.000,1110000.000,882500.000,800000.000,1056250.000,970000.000,1050000.000,999499.500,940000.000,925000.000,950000.000,1089000.000,1050000.000,955000.000,1150000.000,1052500.000,1198221.500,1315403.000,1150000.000,1070000.000,1100000.000,1142500.000,1370000.000,1120000.000,1250000.000,1425000.000,1069162.000,1229950.000,1225000.000,1186261.000,1104801.000,1395000.000,1200000.000,1356000.000,1090782.000,1667500.000,1525000.000,1685000.000,1724000.000,1595000.000,1217500.000,1210000.000,1360000.000,1257000.000,1390000.000,1160901.000,1155397.000,1276492.000,1420000.000,1380000.000,1260000.000,1369934.000,1388800.000,1511186.000,1455899.500,1725933.500,1380500.000,1422501.000,1300000.000,1316500.000,1152500.000,1315000.000,1219948.000,1310641.000,1262500.000,1230000.000,1200000.000,1125000.000,1120000.000,1160000.000,1387820.000,1219500.000,1577500.000,1388750.000,1652563.000,1558750.000,1769019.000,1520000.000,1540000.000,1260000.000,1227500.000,1300000.000,1174250.000,1380000.000,1262500.000,1357500.000,1500000.000,1255185.000,1369241.000,1102664.000,959500.000,1385408.000,1275000.000,1330236.500,1100000.000,1200000.000,1250000.000,1240000.000,1302000.000,1097000.000,985000.000,1212500.000
All Upper East Side,Manhattan,submarket,1203292.000,1007500.000,1325000.000,1380000.000,1715284.000,1302614.500,1290631.500,1275000.000,982500.000,852500.000,1205000.000,1240000.000,1526415.500,895000.000,1650000.000,1450000.000,1080000.000,1175000.000,1235000.000,1045000.000,1160000.000,940000.000,1030451.500,802500.000,972750.000,1400000.000,1379728.000,1500900.000,1017500.000,1240000.000,1280000.000,1378739.000,1205000.000,1151250.000,885500.000,1030000.000,1125000.000,1005000.000,1312522.000,1120000.000,1472500.000,1527375.000,1286406.000,1225000.000,1600000.000,1270000.000,2740069.500,2632812.500,1912000.000,1858306.000,1601875.000,2100000.000,1853136.500,1260000.000,1797500.000,1282500.000,1472500.000,1497000.000,1662500.000,1591000.000,1575000.000,1497500.000,1618250.000,1705000.000,1700000.000,1560000.000,1258443.000,1255475.000,1800000.000,2180000.000,1298490.500,1318633.000,1322500.000,1897500.000,1296524.000,1395000.000,1500000.000,1639600.000,1602581.500,1536250.000,1322500.000,2220000.000,1635000.000,1215000.000,1323725.000,1295000.000,1700000.000,1660883.500,1699068.000,1800000.000,1670000.000,1770584.000,1670000.000,1625000.000,1350000.000,1750000.000,1575000.000,1430000.000,2000000.000,2188495.500,1675000.000,1425000.000,1560000.000,1543000.000,1685000.000,1887500.000,1704843.500,1582500.000,1325000.000,1599000.000,1682329.000,1450000.000,1460000.000,2350000.000,1475000.000,1290000.000,1200000.000,1099500.000,1695000.000,1200000.000,1261404.000,1425000.000,1475000.000,1500000.000,1652500.000,1157000.000,1525000.000,1410000.000,1106000.000,1525000.000,1537500.000,1250000.000,947500.000,2060000.000,1432500.000,1672500.000,1525000.000
All Upper Manhattan,Manhattan,submarket,438000.000,530903.500,420000.000,427500.000,431900.000,528471.000,568056.500,494500.000,580000.000,555000.000,498967.500,637286.000,560037.000,434009.000,443150.000,444750.000,621132.000,615000.000,515000.000,489762.000,535202.000,509500.000,484500.000,422000.000,495000.000,703750.500,449496.000,317500.000,512000.000,582500.000,590000.000,495000.000,582838.000,606000.000,610000.000,575000.000,544763.000,690000.000,492500.000,675625.000,503750.000,522500.000,520000.000,495395.000,495000.000,422870.000,565155.500,501000.000,462000.000,517681.000,524398.000,471000.000,549000.000,698426.000,666500.000,520000.000,526944.000,631315.000,791180.000,755000.000,885877.000,611320.500,757098.500,663726.000,669413.000,618157.500,587838.000,738000.000,727500.000,749000.000,610750.000,612986.000,610000.000,535000.000,517500.000,651965.500,698000.000,735000.000,657664.000,659450.000,767500.000,720000.000,708192.500,694446.000,676118.000,801362.000,663340.000,799500.000,842500.000,772000.000,625500.000,750000.000,780000.000,690000.000,625000.000,802500.000,675000.000,760000.000,762000.000,700000.000,770000.000,845000.000,702500.000,790564.500,790000.000,714000.000,630000.000,572463.500,810000.000,665000.000,725000.000,740000.000,856738.000,837000.000,820000.000,853964.000,772500.000,650661.000,975000.000,812273.000,843111.000,800000.000,848500.000,690000.000,789143.000,685000.000,845000.000,756615.500,776620.000,745000.000,794000.000,763500.000,1038250.000,800000.000,884350.000,926000.000,715000.000
All Upper West Side,Manhattan,submarket,1085000.000,1059275.500,869500.000,1067290.500,1045000.000,999000.000,999750.000,1407730.500,1274500.000,1193000.000,1252884.000,1145500.000,1037000.000,1212500.000,990000.000,935000.000,1121250.000,1200000.000,1125000.000,1412500.000,1375000.000,1425000.000,1337500.000,1250000.000,1651500.000,1856250.000,1502500.000,1800000.000,1192500.000,1369000.000,1357500.000,1256321.000,1225000.000,1137500.000,1382500.000,1100000.000,1745900.000,1328500.000,1035000.000,1327500.000,1187500.000,1157500.000,1300500.000,1386125.000,1230000.000,1150000.000,1375000.000,1362318.500,1504625.500,1280000.000,1450000.000,1525000.000,1342500.000,1325000.000,1125000.000,1463231.000,1520000.000,1200000.000,1372500.000,1140000.000,1375000.000,1537500.000,1600000.000,1230000.000,1250000.000,1675000.000,1355000.000,1350000.000,1887762.000,1814968.500,2038500.000,1705512.500,1641246.000,1500000.000,1531383.000,1310000.000,1400000.000,1300000.000,1720000.000,1840000.000,1092500.000,1538652.000,1762500.000,2572500.000,1472500.000,1688000.000,1350000.000,1291250.000,1418750.000,1580000.000,1777500.000,1399894.000,2151351.000,1679000.000,2227147.500,1942465.000,1627358.000,1465000.000,1455577.500,2450000.000,1715000.000,1060000.000,1599000.000,1540000.000,1437500.000,1312500.000,1325000.000,1412500.000,2012500.000,1250000.000,1675000.000,2150000.000,1794250.000,1582500.000,999000.000,1460000.000,1450000.000,1180000.000,1125000.000,1990000.000,1660000.000,1962500.000,2087000.000,3125000.000,1692500.000,2125000.000,2075194.000,2030700.000,1740665.000,1840000.000,1388400.000,1822500.000,1450000.000,1050000.000,1141300.000,1325000.000,1442500.000
Astoria,Queens,neighborhood,,,383217.500,399840.000,,,355000.000,418046.000,387500.000,344760.000,347500.000,378111.000,,355000.000,,,335000.000,345000.000,,,337155.000,,330000.000,392671.500,339000.000,368500.000,365000.000,405000.000,382625.000,375000.000,365055.000,400530.000,,,400790.000,,320000.000,370000.000,,350000.000,,360000.000,337000.000,,,,,341105.000,,,,,375000.000,,,335000.000,,346850.000,360000.000,488250.000,,,455000.000,445000.000,,,,492550.500,540000.000,406000.000,499500.000,560018.500,502500.000,,465000.000,580123.000,,467000.000,,619000.000,570000.000,687318.500,702874.000,527500.000,425000.000,,496000.000,,510000.000,,,455000.000,,580000.000,,613495.000,,,,595000.000,677911.000,658750.000,452500.000,,452500.000,605000.000,,547500.000,645840.000,618066.000,585520.500,,,,,480500.000,440000.000,677885.500,,,,,654540.500,,585000.000,,,,,,,,522000.000,,,552500.000,
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498888.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,502650.000,763000.000,2031917.000,1476462.500,,,1165000.000,1247356.000,1400000.000,,1580000.000,853130.500,,1225000.000,495895.000,625000.000,727500.000,936790.000,575000.000,911333.000,1545899.000,585110.000,,750000.000,902000.000,770500.000,650748.500,1056579.000,760000.000,1150767.500,1125000.000,675000.000,681609.000,791241.000,700000.000,804417.000,766570.000,656771.000,834965.000,785000.000,670000.000,770000.000,759617.000,939988.000,680000.000,753774.000,595000.000,1300000.000,860285.500,998750.000,1482500.000,774000.000,937500.000,770000.000,990000.000,,770000.000,990000.000,756000.000,862500.000,,712500.000,655000.000,1125000.000,840000.000,1792120.000,860256.000,2038615.000,2325000.000,1762500.000,2253168.000,2315000.000,990000.000,1989837.500,2199419.500,1200000.000,777000.000,1818000.000,1705000.000,1135050.000,980000.000,890000.000,790000.000,1067500.000,1049490.000,891000.000,,1640000.000,1105000.000,1355000.000,1088000.000,955000.000,834000.000,1435000.000,1650000.000,1085000.000,,1009125.000,920000.000,975000.000,1375000.000,1494500.000,744999.500,,917945.000,,,,1505772.000,602500.000,1247500.000,,,,,1325000.000,1187500.000,1080748.000,1970000.000,,,800000.000,,,,,,,,,747500.000,,987500.000,,885000.000,2065000.000
Bay Ridge,Brooklyn,neighborhood,,,,,,253500.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
