areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
All Downtown,Manhattan,submarket,,,,,,,,,,,,4075000.000,,,,,,6415607.000,,,5411700.000,,,,,,,,,,3725000.000,,,,,5450000.000,,,,7085000.000,,,5856409.500,,,6452500.000,,,,,,,,,,7142500.000,5865000.000,,4775000.000,,,9000000.000,,,7818639.000,,,,,6000000.000,,,,,,,,,,7966666.500,,,,,,,,,,,,,,,,,,,,,6650000.000,,11500000.000,,,7825000.000,,2670375.000,,,,7600000.000,,8500000.000,,,,,,,,,,,,,,,,,,,,,,,
All Midtown,Manhattan,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Upper East Side,Manhattan,submarket,,,,,,,,,,,,3800000.000,,,,,,,,,,,,,,,,,,,,,,,,8250000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8557505.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11125000.000,,,,,,,,,,,,,,,,,,,,,,,
All Upper Manhattan,Manhattan,submarket,,,,752500.000,,,,930000.000,,,,900000.000,846250.000,,823811.500,,,915000.000,865204.500,,,,,,753760.000,,,,824436.000,,1148262.500,999995.000,,,990000.000,1450000.000,1100000.000,,772500.000,835000.000,931698.000,929000.000,1085000.000,1900000.000,1800000.000,,1321862.500,,1100000.000,,1186803.000,1515000.000,1225000.000,1541250.000,1765000.000,1512500.000,1362500.000,1612500.000,,1470000.000,1687500.000,2128875.000,,,2091450.000,,1913750.000,2442500.000,2000000.000,1340025.000,1825000.000,2100000.000,1920000.000,,,1955000.000,1410000.000,,2051000.000,1755000.000,2200000.000,,2200000.000,,2350000.000,1635000.000,1900000.000,,,1925000.000,,1962500.000,2310000.000,,1850000.000,,,,2000000.000,2200000.000,,2262500.000,,2500573.000,,1397500.000,,,2190000.000,,1862500.000,,,,1827500.000,,,1750000.000,1100000.000,,,,,,,,,,,,,,,,,,
All Upper West Side,Manhattan,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,535000.000,760000.000,550937.500,650000.000,701500.000,630000.000,667922.000,700000.000,616000.000,670000.000,681750.000,656250.000,716000.000,,600000.000,695000.000,620000.000,645000.000,630000.000,741000.000,700000.000,745000.000,640000.000,670000.000,545000.000,685000.000,629000.000,590000.000,612500.000,635000.000,751000.000,678100.000,746000.000,715000.000,735000.000,650000.000,640000.000,617500.000,590000.000,765000.000,745000.000,620000.000,730000.000,750000.000,717500.000,615000.000,787500.000,690000.000,750000.000,850000.000,731500.000,925000.000,815000.000,765000.000,877500.000,800000.000,912500.000,887500.000,775000.000,865000.000,968500.000,867500.000,830000.000,828500.000,800000.000,825000.000,887500.000,945000.000,1090000.000,937000.000,875000.000,998500.000,950000.000,965000.000,920000.000,975000.000,987499.500,970000.000,1070000.000,951000.000,1045000.000,955000.000,1050000.000,1030000.000,1220000.000,940000.000,1212500.000,1100000.000,949000.000,1057000.000,935000.000,879000.000,1212000.000,1150000.000,1150000.000,1137500.000,1225000.000,1125000.000,1180000.000,1252500.000,1290000.000,980000.000,1250000.000,1115000.000,1250000.000,1207500.000,1200000.000,960000.000,1280000.000,1147500.000,962000.000,1155000.000,1120000.000,1167500.000,1162500.000,1127500.000,1225000.000,1300000.000,1325000.000,1166250.000,1290000.000,1225000.000,1275000.000,1362500.000,,1024995.000,1325000.000,,,1060000.000,1330000.000,1200000.000,1050000.000,1230000.000,999999.000,1160000.000,1341500.000
Auburndale,Queens,neighborhood,694000.000,592036.000,,578500.000,575000.000,550000.000,600000.000,655000.000,568500.000,570000.000,520000.000,560000.000,622000.000,565000.000,625000.000,,535000.000,520000.000,528000.000,563000.000,,570000.000,,,,525000.000,600000.000,566000.000,607500.000,579250.000,595000.000,552500.000,605000.000,622500.000,510000.000,511000.000,601000.000,598000.000,536800.000,530000.000,625000.000,550000.000,529000.000,643000.000,639500.000,650000.000,677500.000,583000.000,721000.000,738000.000,709500.000,675000.000,667500.000,700000.000,661000.000,648000.000,702500.000,680000.000,675000.000,650000.000,684000.000,569000.000,692000.000,638750.000,745000.000,662500.000,658000.000,690000.000,741944.000,798000.000,832500.000,661500.000,770000.000,,699500.000,750000.000,739000.000,759000.000,680000.000,768750.000,815000.000,840000.000,763760.000,797500.000,904000.000,810000.000,750000.000,722500.000,840000.000,800000.000,836944.000,912500.000,765000.000,847785.000,828800.000,861500.000,849500.000,930000.000,838000.000,980000.000,885000.000,850000.000,760000.000,890000.000,920000.000,799444.000,910000.000,865000.000,899888.000,,830000.000,869000.000,770000.000,,865000.000,900000.000,870000.000,860000.000,775000.000,810000.000,843000.000,910000.000,,,,815000.000,,,846400.000,858000.000,780000.000,917500.000,790000.000,793500.000,780000.000,847000.000,877500.000
Bath Beach,Brooklyn,neighborhood,687500.000,,610000.000,517500.000,,705000.000,,,700000.000,,,625000.000,,,600000.000,653000.000,,,,,,,,,,,,,,560000.000,650000.000,650000.000,667000.000,,,697000.000,,,,,,612500.000,,,610000.000,647500.000,,725000.000,702500.000,,,,829000.000,,777500.000,,656250.000,794000.000,,685000.000,,910000.000,,855000.000,1225000.000,,,,783000.000,855000.000,,841500.000,1144037.500,1016875.000,845000.000,1120000.000,,829300.000,,,990000.000,,,1055000.000,,,1220000.000,,,,,,910000.000,,,1010000.000,,,,,982500.000,,,1180000.000,986000.000,,,,,,,,,1260000.000,,,,,,,,,1060000.000,,,,,,,,,990000.000,,,1280000.000,,
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Ridge,Brooklyn,neighborhood,682000.000,765000.000,675000.000,745000.000,826500.000,685000.000,762500.000,707500.000,694500.000,782500.000,765000.000,705000.000,745000.000,695000.000,777650.000,727000.000,610000.000,725000.000,690000.000,867500.000,825000.000,742500.000,680000.000,745000.000,600000.000,740000.000,712500.000,745000.000,692500.000,755500.000,760000.000,790000.000,789250.000,760000.000,765000.000,760000.000,755000.000,750000.000,730000.000,770000.000,812500.000,740000.000,810000.000,887500.000,800000.000,782500.000,729750.000,766000.000,827500.000,830000.000,896000.000,810000.000,900000.000,935000.000,850000.000,850000.000,1112500.000,940000.000,900500.000,890000.000,930000.000,915000.000,900000.000,895000.000,970000.000,909000.000,1012000.000,977500.000,980000.000,982500.000,1235000.000,918750.000,1016667.000,1005500.000,980000.000,1080000.000,955000.000,1150000.000,1250000.000,1050000.000,1050000.000,1170000.000,1300000.000,1200000.000,1016667.000,1100000.000,1200000.000,1100000.000,940000.000,1421175.000,1167500.000,1020000.000,1225000.000,1213687.500,1100000.000,1238800.000,1250000.000,1024500.000,1265000.000,1200000.000,1210527.000,1141750.000,1140000.000,1235000.000,950000.000,1225000.000,1135000.000,1130000.000,1141000.000,1255000.000,1250000.000,1300000.000,1217500.000,1137500.000,1070500.000,1151500.000,1395000.000,1260000.000,1200000.000,999999.000,1250500.000,1200000.000,1250000.000,916000.000,,1137500.000,979446.000,,1167500.000,1177500.000,1300000.000,1125000.000,1100000.000,1190000.000,1260000.000,1020000.000,1200000.000
